order_id,created_at,origin,destination,status,carrier,planned_hours,actual_hours,price_rub,documents_complete
AT-0001,2026-02-28,Амурск,Хабаровск,Закрыт,Собственный парк,48,44,29000,Да
AT-0002,2026-03-05,Хабаровск,Советская Гавань,В пути,Перевозчик А,24,,70000,Нет
AT-0003,2026-04-10,Советская Гавань,Амурск,Закрыт,Перевозчик А,24,21,41000,Да
AT-0004,2026-07-14,Комсомольск-на-Амуре,Амурск,Закрыт,Перевозчик А,24,34,26000,Да
AT-0005,2026-06-19,Амурск,Комсомольск-на-Амуре,На согласовании,Перевозчик А,8,,91000,Нет
AT-0006,2026-08-01,Советская Гавань,Комсомольск-на-Амуре,В пути,Собственный парк,16,,23000,Нет
AT-0007,2026-05-08,Хабаровск,Амурск,Запланирован,Собственный парк,36,,81000,Нет
AT-0008,2026-01-10,Советская Гавань,Амурск,Закрыт,Перевозчик Б,36,45,86000,Да
AT-0009,2026-08-14,Советская Гавань,Хабаровск,Доставлен,Собственный парк,24,23,88000,Нет
AT-0010,2026-01-25,Амурск,Советская Гавань,Закрыт,Перевозчик Б,48,58,91000,Да
AT-0011,2026-02-20,Амурск,Комсомольск-на-Амуре,Закрыт,Перевозчик Б,16,27,21000,Да
AT-0012,2026-07-26,Хабаровск,Советская Гавань,Закрыт,Перевозчик А,8,12,40000,Да
AT-0013,2026-03-10,Комсомольск-на-Амуре,Хабаровск,Закрыт,Собственный парк,16,24,62000,Да
AT-0014,2026-01-30,Хабаровск,Амурск,Запланирован,Собственный парк,8,,32000,Нет
AT-0015,2026-03-18,Комсомольск-на-Амуре,Советская Гавань,Запланирован,Перевозчик А,24,,33000,Нет
AT-0016,2026-05-26,Советская Гавань,Комсомольск-на-Амуре,Закрыт,Перевозчик А,36,45,65000,Да
AT-0017,2026-01-21,Комсомольск-на-Амуре,Хабаровск,В пути,Собственный парк,8,,25000,Нет
AT-0018,2026-07-15,Амурск,Комсомольск-на-Амуре,Запланирован,Перевозчик А,36,,31000,Нет
AT-0019,2026-06-04,Комсомольск-на-Амуре,Советская Гавань,Закрыт,Перевозчик А,12,17,85000,Да
AT-0020,2026-01-31,Амурск,Хабаровск,Закрыт,Перевозчик Б,16,11,75000,Да
AT-0021,2026-02-23,Комсомольск-на-Амуре,Амурск,Закрыт,Собственный парк,36,36,55000,Да
AT-0022,2026-04-21,Советская Гавань,Комсомольск-на-Амуре,Закрыт,Перевозчик А,36,38,72000,Да
AT-0023,2026-07-22,Хабаровск,Советская Гавань,Закрыт,Перевозчик Б,36,45,28000,Да
AT-0024,2026-07-04,Советская Гавань,Амурск,В пути,Перевозчик А,48,,84000,Нет
AT-0025,2026-04-11,Амурск,Хабаровск,Закрыт,Перевозчик А,12,8,26000,Да
AT-0026,2026-01-28,Хабаровск,Амурск,Закрыт,Перевозчик Б,36,31,58000,Да
AT-0027,2026-08-01,Советская Гавань,Амурск,Закрыт,Перевозчик Б,48,59,84000,Да
AT-0028,2026-02-21,Хабаровск,Советская Гавань,Доставлен,Перевозчик Б,48,59,37000,Нет
AT-0029,2026-01-02,Амурск,Советская Гавань,Закрыт,Перевозчик А,8,13,40000,Да
AT-0030,2026-06-11,Амурск,Комсомольск-на-Амуре,Доставлен,Перевозчик Б,48,54,53000,Нет
AT-0031,2026-05-13,Амурск,Советская Гавань,Запланирован,Перевозчик А,16,,25000,Нет
AT-0032,2026-02-20,Советская Гавань,Хабаровск,Закрыт,Собственный парк,36,40,49000,Да
AT-0033,2026-04-12,Советская Гавань,Амурск,Доставлен,Перевозчик Б,48,54,89000,Нет
AT-0034,2026-05-30,Амурск,Советская Гавань,Доставлен,Перевозчик Б,24,35,22000,Нет
AT-0035,2026-03-10,Хабаровск,Комсомольск-на-Амуре,Доставлен,Собственный парк,16,24,91000,Нет
AT-0036,2026-08-01,Амурск,Хабаровск,Закрыт,Перевозчик А,36,39,92000,Да
AT-0037,2026-04-16,Хабаровск,Советская Гавань,Закрыт,Перевозчик Б,12,23,70000,Да
AT-0038,2026-03-05,Хабаровск,Амурск,Доставлен,Перевозчик А,12,18,25000,Нет
AT-0039,2026-07-23,Комсомольск-на-Амуре,Хабаровск,Закрыт,Собственный парк,12,20,29000,Да
AT-0040,2026-01-06,Хабаровск,Амурск,Закрыт,Перевозчик А,8,17,48000,Да
AT-0041,2026-08-25,Комсомольск-на-Амуре,Советская Гавань,Доставлен,Перевозчик А,48,45,16000,Нет
AT-0042,2026-08-02,Комсомольск-на-Амуре,Советская Гавань,В пути,Собственный парк,16,,41000,Нет
AT-0043,2026-07-05,Комсомольск-на-Амуре,Амурск,Запланирован,Перевозчик А,12,,57000,Нет
AT-0044,2026-03-25,Комсомольск-на-Амуре,Амурск,Запланирован,Перевозчик Б,48,,56000,Нет
AT-0045,2026-04-22,Хабаровск,Комсомольск-на-Амуре,Закрыт,Перевозчик А,24,23,20000,Да
AT-0046,2026-01-26,Хабаровск,Комсомольск-на-Амуре,Закрыт,Перевозчик Б,12,17,37000,Да
AT-0047,2026-01-28,Комсомольск-на-Амуре,Советская Гавань,Доставлен,Собственный парк,48,48,83000,Нет
AT-0048,2026-06-13,Амурск,Хабаровск,Запланирован,Перевозчик Б,48,,73000,Нет
AT-0049,2026-01-29,Комсомольск-на-Амуре,Советская Гавань,На согласовании,Собственный парк,12,,53000,Нет
AT-0050,2026-02-25,Советская Гавань,Комсомольск-на-Амуре,Закрыт,Перевозчик Б,24,20,69000,Да
AT-0051,2026-05-30,Амурск,Хабаровск,Запланирован,Перевозчик Б,24,,59000,Нет
AT-0052,2026-06-27,Советская Гавань,Хабаровск,В пути,Собственный парк,36,,51000,Нет
AT-0053,2026-03-10,Советская Гавань,Комсомольск-на-Амуре,Запланирован,Перевозчик А,16,,93000,Нет
AT-0054,2026-05-10,Амурск,Комсомольск-на-Амуре,Доставлен,Перевозчик А,24,23,94000,Нет
AT-0055,2026-05-02,Комсомольск-на-Амуре,Хабаровск,Закрыт,Перевозчик Б,8,14,49000,Да
AT-0056,2026-03-30,Советская Гавань,Амурск,Закрыт,Собственный парк,12,7,35000,Да
AT-0057,2026-04-25,Хабаровск,Советская Гавань,Доставлен,Перевозчик А,36,34,76000,Нет
AT-0058,2026-01-11,Амурск,Хабаровск,Закрыт,Перевозчик А,16,14,33000,Да
AT-0059,2026-06-15,Хабаровск,Советская Гавань,Закрыт,Перевозчик А,16,22,59000,Да
AT-0060,2026-07-10,Комсомольск-на-Амуре,Амурск,Закрыт,Собственный парк,48,53,16000,Да
AT-0061,2026-03-01,Амурск,Хабаровск,Закрыт,Перевозчик А,36,36,29000,Да
AT-0062,2026-06-15,Амурск,Комсомольск-на-Амуре,Запланирован,Перевозчик А,48,,86000,Нет
AT-0063,2026-06-25,Амурск,Хабаровск,Запланирован,Перевозчик А,16,,75000,Нет
AT-0064,2026-04-25,Комсомольск-на-Амуре,Хабаровск,Запланирован,Перевозчик А,24,,29000,Нет
AT-0065,2026-05-29,Комсомольск-на-Амуре,Хабаровск,В пути,Перевозчик А,48,,58000,Нет
